name,price,category,store_id,quantity,id,created_at,image_url,nutriscore,nova_group,energy_kcal,sugars_100g,salt_100g,saturated_fat_100g
SALSA FELIUBADALÓ ROMESCO 180 CC,2.35,"Sal, salsas y especias",condisline,"13,06€/Kilo",0013c959-2cd4-468d-977b-9a1aeac6780a,2025-07-03 12:52:09.948729,,,,,,,
BONPREU Xocolata negra amb sal marina,2.15,alimentacion,bonpreu,"0.1kg
(21.50/Kg",004316fe-de71-424d-82a5-d51f4490e57b,2025-07-05 16:08:42.885466,,,,,,,
KELLOGG'S Cereals mel pops,4.49,alimentacion,bonpreu,"0.4kg
(11.23/Kg",0044666d-229d-425e-8ffd-35d5f19fdbda,2025-07-05 15:51:41.835252,,,,,,,
BONPREU Xocolata amb llet i ametlles,1.65,alimentacion,bonpreu,"0.15kg
(11.00/Kg",00a32473-5679-4ba1-bffa-16b9060c8ab3,2025-07-05 16:10:18.109815,,,,,,,
CHIPS AHOY Galetes mini amb xocolata,1.95,alimentacion,bonpreu,"0.16kg
(12.19/Kg",00e34d76-aeb7-4a0c-af77-5b1039ee91b7,2025-07-05 16:57:32.291185,,,,,,,
GULLÓN Galetes Chip xocolata sense sucres,2.69,alimentacion,bonpreu,"0.125kg
(21.52/Kg",00e3a348-15bf-46ce-b68a-25959030550c,2025-07-05 16:03:08.932164,,,,,,,
CRACKER LA RUSTICA PIPAS Y AMAPOL 100 G,1.65,"Panes, harinas y masas",condisline,"16,50€/Kilo",00ff9945-2674-49e9-b9c9-aaba03523c7d,2025-07-03 12:53:47.083366,,,,,,,
PASTA GALLO TIBURÓN N.0 450 G,1.39,"Arroz, pasta y legumbres",condisline,"3,09€/Kilo",010315d0-b56b-421a-aab0-2e3889f8c396,2025-07-03 12:53:11.755494,,,,,,,
MOSTAZA LOUIT DIÁFANA AL ESTRAGÓN 120 G,1.49,"Sal, salsas y especias",condisline,"12,96€/Kilo",0113a223-4463-4409-9a4b-f2f3922a49d9,2025-07-03 12:52:03.775337,,,,,,,
FONTANEDA Brioixet de xocolata,2.89,alimentacion,bonpreu,"0.15kg
(19.27/Kg",0133a3a8-6c9c-413f-bb44-ae6e25a06a32,2025-07-05 17:05:28.764913,,,,,,,
Orxata de xufla bric,1.62,drinks,bonarea,1 l,0138b9ac-dd1d-4a03-af46-84a0ba7fb922,2025-07-03 13:23:40.263918,,,,,,,
